"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
691406,"Caminero, Junior",389,0.8942528735632184,302,"77.711828201",0.7532133676092545,0.31788079470198677,0.2467866323907455,0.22847682119205298,0.17737789203084833,"8.385645758",4,-4.995691856057818,87,0.2236503856041131,158,0.40616966580976865
665833,"Cruz, Oneil",283,0.8524096385542169,203,"76.966869859",0.6325088339222614,0.30049261083743845,0.21554770318021202,0.19704433497536947,0.1413427561837456,"7.660816078",8,-23.19544050007731,80,0.2826855123674912,99,0.3498233215547703
691023,"Walker, Jordan",219,0.8830645161290323,151,"76.852587032",0.6712328767123287,0.2847682119205298,0.1963470319634703,0.17880794701986755,0.1232876712328767,"8.125603242",4,-10.61249776207195,68,0.3105022831050228,73,0.3333333333333333
656941,"Schwarber, Kyle",400,0.8695652173913043,292,"76.787129",0.7149999999999999,0.3356164383561644,0.245,0.2636986301369863,0.1925,"7.523342675",18,-9.566965223536922,108,0.27,149,0.3725
666176,"Adell, Jo",358,0.8753056234718827,282,"76.703297933",0.6284916201117319,0.25886524822695034,0.20391061452513967,0.1524822695035461,0.12011173184357542,"7.566908659",11,-1.7307455462651307,76,0.2122905027932961,127,0.3547486033519553
701762,"Kurtz, Nick",247,0.8981818181818182,158,"76.438776073",0.6518218623481782,0.27848101265822783,0.17813765182186234,0.2088607594936709,0.13360323886639677,"7.718944211",5,-0.7380711837091163,89,0.3603238866396761,78,0.3157894736842105
592450,"Judge, Aaron",337,0.8467336683417085,249,"76.024972166",0.5905044510385755,0.3895582329317269,0.2878338278931751,0.2289156626506024,0.16913946587537093,"8.102045074",16,6.6805075676261945,88,0.26112759643916916,133,0.39465875370919884
677594,"Rodríguez, Julio",401,0.8911111111111111,300,"76.021217631",0.598503740648379,0.32,0.23940149625935161,0.20666666666666667,0.1546134663341646,"7.599689077",7,3.4983817685314422,101,0.2518703241895262,151,0.3765586034912718
670242,"Wallner, Matt",215,0.8565737051792829,149,"75.875430419",0.6232558139534884,0.2550335570469799,0.17674418604651163,0.1476510067114094,0.10232558139534884,"7.333159256",8,-6.19620015872559,66,0.30697674418604654,71,0.3302325581395349
665489,"Guerrero Jr., Vladimir",275,0.8358662613981763,228,"75.531226436",0.5672727272727272,0.3684210526315789,0.3054545454545455,0.24561403508771928,0.20363636363636364,"7.523198582",7,-1.3336250110340009,47,0.1709090909090909,136,0.49454545454545457
